Size,Dist,Time,Rep,Wmass,Amph,Cope,Poly,Anem,Iso,Bival,Gast,Turb,Prawn,Urchin,Fish,Crab,Caddis,Opi,Ost,Bstar,Total
SMALL,0,5,1,15.8,4.746835,0,1.075949,0.126582,0,0.189873,0.379747,0.063291,0,0,0,0,0,0,0,0,6.582278
SMALL,0,5,2,13.1,1.221374,0.534351,0.610687,0,0.152672,0.152672,1.374046,0,0,0,0,0.076336,0,0.076336,0,0,4.198473
SMALL,0,5,3,25.1,0.557769,1.474104,0.079681,0,0.039841,0.039841,1.314741,0,0,0,0,0.039841,0,0,0.239044,0,3.784861
SMALL,0,5,4,29.7,0.707071,1.245791,0.16835,0,0.03367,0,0.30303,0,0,0,0,0,0,0.03367,0.10101,0,2.592593
SMALL,0,5,5,17.4,3.16092,0,0.057471,0,0.862069,0,0.517241,0,0.287356,0,0.057471,0,0.057471,0,0,0,5
SMALL,2,5,1,13.3,1.278195,1.052632,0.150376,0,0,0.150376,0.075188,0,0.075188,0,0,0,0,0,0,0,2.781955
SMALL,2,5,2,4.7,1.914894,1.276596,0.212766,0,2.553191,0,2.12766,0,0,0,0,0,0,0,0.212766,0,8.297872
SMALL,2,5,3,6.8,1.617647,4.264706,0.441176,0.147059,7.5,0.588235,1.029412,0,0,0,0,0.147059,0,0,0.147059,0,15.882353
SMALL,2,5,4,7.7,3.636364,2.727273,0.779221,0,2.467532,0.38961,0.519481,0,0,0,0,0,0,0,0,0,10.519481
SMALL,2,5,5,14.3,2.587413,5.804196,0.699301,0,3.916084,0,1.048951,0,0.06993,0,0,0,0,0,0.769231,0.06993,14.965035
SMALL,10,5,1,17.7,2.259887,0.451977,0.169492,0,0.903955,0.338983,0.677966,0,0,0,0,0.056497,0,0,1.299435,0,6.158192
SMALL,10,5,2,16.7,2.275449,1.556886,0.359281,0,1.077844,0.598802,0.359281,0,0.05988,0,0,0,0,0,0,0,6.287425
SMALL,10,5,3,8.1,2.716049,3.82716,0.37037,0,3.45679,0.246914,0.246914,0.123457,0,0,0,0,0,0,0.864198,0,11.851852
SMALL,10,5,4,15.1,4.039735,1.258278,0.066225,0.066225,1.854305,0.13245,0.397351,0,0,0,0.13245,0.066225,0,0,1.059603,0,9.072848
SMALL,10,5,5,11.8,0.762712,0.508475,0.169492,0,0.847458,0,0.254237,0,0.084746,0,0,0,0,0,0.169492,0,2.79661
SMALL,0,10,1,17.3,2.138728,0.867052,0.346821,0,0.057803,0,0.346821,0,0.115607,0,0,0,0,0,0.115607,0,3.988439
SMALL,0,10,2,27.7,0.938628,1.01083,0.758123,0.036101,0.216606,0.180505,0.794224,0,0,0,0,0,0,0,0.144404,0,4.079422
SMALL,0,10,3,11.8,1.949153,0.59322,0.254237,0,0.084746,0.254237,0.338983,0,0,0,0,0.084746,0,0,0.169492,0,3.728814
SMALL,0,10,4,11,2.363636,1.545455,0.363636,0,0,0.272727,0.454545,0,0.090909,0,0,0.181818,0,0,0.181818,0,5.454545
SMALL,0,10,5,16.1,4.658385,1.614907,0.372671,0,0.062112,0.186335,1.118012,0,0,0,0,0.062112,0,0,0.062112,0,8.136646
SMALL,2,10,1,39,1.461538,0.897436,0.076923,0,0.358974,0.025641,0.153846,0,0.102564,0,0,0,0,0,0.025641,0,3.102564
SMALL,2,10,2,12.7,4.330709,4.566929,0.23622,0,4.566929,0,0.787402,0,0,0,0.07874,0,0,0,0.551181,0.07874,15.19685
