"","X.1","X","year","co2","month","Date","DateNum"
"3",3,3,1958,315.71,3,"1958-03-01",-4324
"4",4,4,1958,317.45,4,"1958-04-01",-4293
"5",5,5,1958,317.5,5,"1958-05-01",-4263
"6",6,6,1958,317.1,6,"1958-06-01",-4232
"7",7,7,1958,315.86,7,"1958-07-01",-4202
"8",8,8,1958,314.93,8,"1958-08-01",-4171
"9",9,9,1958,313.2,9,"1958-09-01",-4140
"10",10,10,1958,312.66,10,"1958-10-01",-4110
"11",11,11,1958,313.33,11,"1958-11-01",-4079
"12",12,12,1958,314.67,12,"1958-12-01",-4049
"13",13,13,1959,315.62,1,"1959-01-01",-4018
"14",14,14,1959,316.38,2,"1959-02-01",-3987
"15",15,15,1959,316.71,3,"1959-03-01",-3959
"16",16,16,1959,317.72,4,"1959-04-01",-3928
"17",17,17,1959,318.29,5,"1959-05-01",-3898
"18",18,18,1959,318.15,6,"1959-06-01",-3867
"19",19,19,1959,316.54,7,"1959-07-01",-3837
"20",20,20,1959,314.8,8,"1959-08-01",-3806
"21",21,21,1959,313.84,9,"1959-09-01",-3775
"22",22,22,1959,313.26,10,"1959-10-01",-3745
"23",23,23,1959,314.8,11,"1959-11-01",-3714
"24",24,24,1959,315.58,12,"1959-12-01",-3684
"25",25,25,1960,316.43,1,"1960-01-01",-3653
"26",26,26,1960,316.97,2,"1960-02-01",-3622
"27",27,27,1960,317.58,3,"1960-03-01",-3593
"28",28,28,1960,319.02,4,"1960-04-01",-3562
"29",29,29,1960,320.03,5,"1960-05-01",-3532
"30",30,30,1960,319.59,6,"1960-06-01",-3501
"31",31,31,1960,318.18,7,"1960-07-01",-3471
"32",32,32,1960,315.91,8,"1960-08-01",-3440
"33",33,33,1960,314.16,9,"1960-09-01",-3409
"34",34,34,1960,313.83,10,"1960-10-01",-3379
"35",35,35,1960,315,11,"1960-11-01",-3348
"36",36,36,1960,316.19,12,"1960-12-01",-3318
"37",37,37,1961,316.93,1,"1961-01-01",-3287
"38",38,38,1961,317.7,2,"1961-02-01",-3256
"39",39,39,1961,318.54,3,"1961-03-01",-3228
"40",40,40,1961,319.48,4,"1961-04-01",-3197
"41",41,41,1961,320.58,5,"1961-05-01",-3167
"42",42,42,1961,319.77,6,"1961-06-01",-3136
"43",43,43,1961,318.57,7,"1961-07-01",-3106
"44",44,44,1961,316.79,8,"1961-08-01",-3075
"45",45,45,1961,314.8,9,"1961-09-01",-3044
"46",46,46,1961,315.38,10,"1961-10-01",-3014
"47",47,47,1961,316.1,11,"1961-11-01",-2983
"48",48,48,1961,317.01,12,"1961-12-01",-2953
"49",49,49,1962,317.94,1,"1962-01-01",-2922
"50",50,50,1962,318.56,2,"1962-02-01",-2891
"51",51,51,1962,319.68,3,"1962-03-01",-2863
"52",52,52,1962,320.63,4,"1962-04-01",-2832
"53",53,53,1962,321.01,5,"1962-05-01",-2802
"54",54,54,1962,320.55,6,"1962-06-01",-2771
"55",55,55,1962,319.58,7,"1962-07-01",-2741
"56",56,56,1962,317.4,8,"1962-08-01",-2710
"57",57,57,1962,316.26,9,"1962-09-01",-2679
"58",58,58,1962,315.42,10,"1962-10-01",-2649
"59",59,59,1962,316.69,11,"1962-11-01",-2618
"60",60,60,1962,317.69,12,"1962-12-01",-2588
"61",61,61,1963,318.74,1,"1963-01-01",-2557
"62",62,62,1963,319.08,2,"1963-02-01",-2526
"63",63,63,1963,319.86,3,"1963-03-01",-2498
"64",64,64,1963,321.39,4,"1963-04-01",-2467
"65",65,65,1963,322.25,5,"1963-05-01",-2437
"66",66,66,1963,321.47,6,"1963-06-01",-2406
"67",67,67,1963,319.74,7,"1963-07-01",-2376
"68",68,68,1963,317.77,8,"1963-08-01",-2345
"69",69,69,1963,316.21,9,"1963-09-01",-2314
"70",70,70,1963,315.99,10,"1963-10-01",-2284
"71",71,71,1963,317.12,11,"1963-11-01",-2253
"72",72,72,1963,318.31,12,"1963-12-01",-2223
"73",73,73,1964,319.57,1,"1964-01-01",-2192
"74",74,74,1964,320.07,2,"1964-02-01",-2161
"75",75,75,1964,320.73,3,"1964-03-01",-2132
"76",76,76,1964,321.77,4,"1964-04-01",-2101
"77",77,77,1964,322.25,5,"1964-05-01",-2071
"78",78,78,1964,321.89,6,"1964-06-01",-2040
"79",79,79,1964,320.44,7,"1964-07-01",-2010
"80",80,80,1964,318.7,8,"1964-08-01",-1979
"81",81,81,1964,316.7,9,"1964-09-01",-1948
"82",82,82,1964,316.79,10,"1964-10-01",-1918
"83",83,83,1964,317.79,11,"1964-11-01",-1887
"84",84,84,1964,318.71,12,"1964-12-01",-1857
"85",85,85,1965,319.44,1,"1965-01-01",-1826
"86",86,86,1965,320.44,2,"1965-02-01",-1795
"87",87,87,1965,320.89,3,"1965-03-01",-1767
"88",88,88,1965,322.13,4,"1965-04-01",-1736
"89",89,89,1965,322.16,5,"1965-05-01",-1706
"90",90,90,1965,321.87,6,"1965-06-01",-1675
"91",91,91,1965,321.39,7,"1965-07-01",-1645
"92",92,92,1965,318.81,8,"1965-08-01",-1614
"93",93,93,1965,317.81,9,"1965-09-01",-1583
"94",94,94,1965,317.3,10,"1965-10-01",-1553
"95",95,95,1965,318.87,11,"1965-11-01",-1522
"96",96,96,1965,319.42,12,"1965-12-01",-1492
"97",97,97,1966,320.62,1,"1966-01-01",-1461
"98",98,98,1966,321.59,2,"1966-02-01",-1430
"99",99,99,1966,322.39,3,"1966-03-01",-1402
"100",100,100,1966,323.87,4,"1966-04-01",-1371
"101",101,101,1966,324.01,5,"1966-05-01",-1341
"102",102,102,1966,323.75,6,"1966-06-01",-1310
"103",103,103,1966,322.39,7,"1966-07-01",-1280
"104",104,104,1966,320.37,8,"1966-08-01",-1249
"105",105,105,1966,318.64,9,"1966-09-01",-1218
"106",106,106,1966,318.1,10,"1966-10-01",-1188
