"sort_number","site","Genus_species","Family","growthform","height","loght","Country","Site","lat","long","entered.by","alt","temp","diurn.temp","isotherm","temp.seas","temp.max.warm","temp.min.cold","temp.ann.range","temp.mean.wetqr","temp.mean.dryqr","temp.mean.warmqr","temp.mean.coldqr","rain","rain.wetm","rain.drym","rain.seas","rain.wetqr","rain.dryqr","rain.warmqr","rain.coldqr","LAI","NPP","hemisphere"
10147,27,"Darwinia_leptantha","Myrtaceae","Shrub",0.8,-0.096910013,"Australia","Kuringai Chase, Sydney",33.65,151.2,"Michelle",157,16.8,10,4.8,3.9,26.1,5.5,20.6,21.2,12.3,21.4,11.5,1283,157,63,29,450,208,385,279,4.14,1563,-1
8499,118,"Colocasia_esculenta","Araceae","Herb",0.6,-0.22184875,NA,"Marshall Islands",9,168,"Laura",2,27.7,4.8,8.8,0.2,30.6,25.2,5.4,27.9,27.5,27.9,27.5,2585,300,82,34,870,305,855,405,NA,NA,1
3140,178,"Apocynum_cannabinum","Apocynaceae","Herb",1.5,0.176091259,"USA","Indiana Dunes",41.617,-86.95,"Michelle",200,9.7,10.7,2.8,9.7,28.6,-9.5,38.1,21.6,-3.3,21.6,-3.3,976,104,44,23,299,165,299,165,3.26,1131,1
11039,54,"Dysphania_myriocephala","Amaranthaceae","Herb",0.1,-1,"Australia","Central Australia",23.8,133.833,"Michelle",553,20.9,16.3,4.8,6,37,3.6,33.4,28.1,14.8,28.1,12.8,278,37,9,42,109,35,109,42,1.32,756,-1
5215,123,"Bruguiera_gymnorrhiza","Rhizophoraceae","Tree",25,1.397940009,"Micronesia","Yap",9.5,138.167,"Laura",15,27.2,6.8,9.1,0.2,31.1,23.7,7.4,27.2,27.2,27.5,26.9,3031,368,144,31,1055,436,689,489,NA,NA,1
19989,103,"Miconia_aulocalyx","Melastomataceae",NA,3,0.477121255,"Peru","Manu",12.183,-70.55,"Angela",386,24.5,10.8,7.4,0.9,31.2,16.7,14.5,25.1,23.2,25.3,23.1,3015,416,99,45,1177,340,928,359,4.26,1405,-1
5326,69,"Burckella_billii","Sapotaceae","Tree",12,1.079181246,"Fiji","Viti Levu",17.8,178,"Laura",1108,19.3,6.3,5.8,1.5,25.3,14.6,10.7,21.1,17.4,21.1,17.3,3191,412,160,31,1136,521,1136,523,4.26,1795,-1
10229,106,"Dendrocnide_peltata","Urticaceae","Tree",30,1.477121255,"Australia","Christmas Island",10.417,105.667,"Laura",2,26.4,5,7.4,0.6,29.9,23.2,6.7,26.8,25.7,27.1,25.5,1704,309,16,66,806,92,659,135,4.51,2296,-1
12088,24,"Eucalyptus_leptophylla","Myrtaceae","Tree",6,0.77815125,"Australia","Adelaide - Brookfield Mallee",34.32,139.503,"Angela",95,16.2,13.3,5.1,4.6,30.7,4.8,25.9,13,21.9,22,10.5,272,30,15,23,83,49,50,79,2.14,773,-1
25144,30,"Pultenaea_daphnoides","Fabaceae - P","Shrub",3,0.477121255,"Australia","Kuringai - Diatreme",33.578,151.292,"Angela",188,17,9.7,4.8,3.8,26.1,5.9,20.2,21.4,12.6,21.5,11.9,1307,159,64,29,455,212,391,280,4.51,1435,-1
