date,rain_mm
2013/1/1,0
2013/1/2,0
2013/1/3,0
2013/1/4,0
2013/1/5,0
2013/1/6,0
2013/1/7,0
2013/1/8,0
2013/1/9,0
2013/1/10,0
2013/1/11,0
2013/1/12,0
2013/1/13,0
2013/1/14,6.2
2013/1/15,0
2013/1/16,0
2013/1/17,0
2013/1/18,0
2013/1/19,2.6
2013/1/20,0
2013/1/21,2
2013/1/22,0
2013/1/23,0
2013/1/24,0
2013/1/25,0
2013/1/26,0
2013/1/27,32
2013/1/28,21.4
2013/1/29,110
2013/1/30,0.6
2013/1/31,0
2013/2/1,0
2013/2/2,57.8
2013/2/3,3.2
2013/2/4,1
2013/2/5,0.1
2013/2/6,0.8
2013/2/7,0
2013/2/8,0
2013/2/9,0
2013/2/10,0
2013/2/11,8
2013/2/12,20.6
2013/2/13,0.6
2013/2/14,0.4
2013/2/15,8.4
2013/2/16,1
2013/2/17,13.6
2013/2/18,1.6
2013/2/19,0.8
2013/2/20,4.4
2013/2/21,0.1
2013/2/22,0
2013/2/23,7.2
2013/2/24,48
2013/2/25,0
2013/2/26,0
2013/2/27,0
2013/2/28,0
2013/3/1,28.6
2013/3/2,12.6
2013/3/3,4.4
2013/3/4,5.4
2013/3/5,0
2013/3/6,0
2013/3/7,0
2013/3/8,0.6
2013/3/9,0.4
2013/3/10,0
2013/3/11,0
2013/3/12,0.6
2013/3/13,0
2013/3/14,0
2013/3/15,0.4
2013/3/16,0.8
2013/3/17,0
2013/3/18,0
2013/3/19,0
2013/3/20,6.8
2013/3/21,0
2013/3/22,0
2013/3/23,1.8
2013/3/24,0
2013/3/25,0
2013/3/26,0.4
2013/3/27,0
2013/3/28,0
2013/3/29,4.2
2013/3/30,0
2013/3/31,0
2013/4/1,4.6
2013/4/2,0
2013/4/3,26.6
2013/4/4,47
2013/4/5,21.4
2013/4/6,12.6
2013/4/7,4.2
2013/4/8,0.1
2013/4/9,6.6
2013/4/10,3.4
2013/4/11,0
2013/4/12,0
2013/4/13,0
2013/4/14,0
2013/4/15,0
2013/4/16,8.2
2013/4/17,1.6
2013/4/18,7.8
2013/4/19,0.8
2013/4/20,31
