Date,temp_airport
2013-01-01,27.1
2013-01-02,23.4
2013-01-03,25.5
2013-01-04,28.4
2013-01-05,30.9
2013-01-06,30.3
2013-01-07,28
2013-01-08,42.5
2013-01-09,23.5
2013-01-10,26.1
2013-01-11,31.9
2013-01-12,31.4
2013-01-13,23.9
2013-01-14,22.1
2013-01-15,25.4
2013-01-16,28.5
2013-01-17,30.1
2013-01-18,46.4
2013-01-19,23.4
2013-01-20,24.2
2013-01-21,28.3
2013-01-22,32.2
2013-01-23,23.3
2013-01-24,27.5
2013-01-25,31.2
2013-01-26,31.1
2013-01-27,23.4
2013-01-28,24.1
2013-01-29,26.3
2013-01-30,26.6
2013-01-31,30.5
2013-02-01,21.8
2013-02-02,19.9
2013-02-03,21.2
2013-02-04,23.3
2013-02-05,25.7
2013-02-06,27.4
2013-02-07,29.5
2013-02-08,31
2013-02-09,29.9
2013-02-10,28.3
2013-02-11,22.2
2013-02-12,23.3
2013-02-13,23.2
2013-02-14,26.3
2013-02-15,26
2013-02-16,23.6
2013-02-17,26.3
2013-02-18,27.3
2013-02-19,28.8
2013-02-20,27.8
2013-02-21,28
2013-02-22,27.3
2013-02-23,24.8
2013-02-24,28.6
2013-02-25,30.2
2013-02-26,29.3
2013-02-27,29.7
2013-02-28,30.7
2013-03-01,21.2
2013-03-02,23.5
2013-03-03,26.1
2013-03-04,26.5
2013-03-05,28.8
2013-03-06,28.7
2013-03-07,29.1
2013-03-08,27.9
2013-03-09,29.2
2013-03-10,29.2
2013-03-11,27.8
2013-03-12,27.9
2013-03-13,29.4
2013-03-14,23.3
2013-03-15,23.8
2013-03-16,29.5
2013-03-17,21.7
2013-03-18,22.2
2013-03-19,24.2
2013-03-20,26
2013-03-21,27.9
2013-03-22,33.6
2013-03-23,27.2
2013-03-24,30.7
2013-03-25,25.8
2013-03-26,29.1
2013-03-27,30.3
2013-03-28,34.9
2013-03-29,20.8
2013-03-30,25.2
2013-03-31,24.8
2013-04-01,23.4
2013-04-02,24.4
2013-04-03,19.5
2013-04-04,21.4
2013-04-05,22.6
2013-04-06,22
2013-04-07,23.2
2013-04-08,23.6
2013-04-09,21.7
2013-04-10,25.4
2013-04-11,26.8
2013-04-12,26.1
2013-04-13,26.5
2013-04-14,28.6
2013-04-15,27.3
2013-04-16,20.3
2013-04-17,21.1
2013-04-18,23.2
2013-04-19,19
2013-04-20,18.8
2013-04-21,19.2
2013-04-22,25.1
2013-04-23,24.7
2013-04-24,22.9
2013-04-25,22.5
2013-04-26,26.6
2013-04-27,26.3
2013-04-28,29.3
2013-04-29,23.5
2013-04-30,20.5
2013-05-01,24.4
2013-05-02,18
2013-05-03,23.5
2013-05-04,25.1
2013-05-05,18.1
2013-05-06,17.7
2013-05-07,20
2013-05-08,22.6
2013-05-09,24.1
2013-05-10,20.9
2013-05-11,21.8
2013-05-12,22.9
2013-05-13,24.2
2013-05-14,19.3
2013-05-15,21.7
2013-05-16,21.8
2013-05-17,19.8
2013-05-18,20.1
2013-05-19,20
2013-05-20,20.2
2013-05-21,22.7
2013-05-22,17.2
2013-05-23,19
2013-05-24,20
2013-05-25,18.6
2013-05-26,20.2
2013-05-27,18
2013-05-28,20.6
2013-05-29,22.9
2013-05-30,22.8
2013-05-31,25
2013-06-01,23.2
2013-06-02,17
2013-06-03,17.8
2013-06-04,19
2013-06-05,20.6
2013-06-06,21.8
2013-06-07,23.7
2013-06-08,17.6
2013-06-09,20.5
2013-06-10,21.7
2013-06-11,20.6
2013-06-12,16.2
2013-06-13,21.6
2013-06-14,20.8
2013-06-15,17.8
2013-06-16,16.9
2013-06-17,16.4
2013-06-18,17
2013-06-19,15
2013-06-20,15.1
2013-06-21,15.7
2013-06-22,14.5
2013-06-23,14.7
2013-06-24,15
2013-06-25,17.5
2013-06-26,19.6
2013-06-27,19.5
2013-06-28,16.5
2013-06-29,15.6
2013-06-30,15.7
2013-07-01,18.7
2013-07-02,20.1
2013-07-03,19.7
2013-07-04,24.2
2013-07-05,20.8
2013-07-06,18.5
2013-07-07,19.1
2013-07-08,18.6
2013-07-09,13.7
2013-07-10,15.6
2013-07-11,17.3
2013-07-12,20.8
2013-07-13,17.8
2013-07-14,19.4
